"Commune","Discipline","Catégorie d'âge","Type de déficience accueillie","Structure","Contact structure","Infos complémentaires","saison"
"SAINT BRIEUC","Plongée","Enfants - Adolescents- Adultes","Visuelle - Auditif - Motrice - Mental","Epave club de plongée","02 96 61 55 20 / 06 30 96 81 97 / 
06 32 29 60 32
info@clubepave.fr",,"2016/2017"
"PLAINTEL","Raffa Volo (boules synthétiques)","Adolescents -  Adultes - Seniors","Auditif - Motrice - Mental - Psychique","Association de Raffa Volo","02 96 32 04 10  06 03 44 91 19
sabeddy@orange.fr",,"2016/2017"
"SAINT BRIEUC","Remise en forme","Adultes - Seniors","Visuelle - Auditif - Motrice","Saint Brieuc Handisport","06 21 06 56 13
stbrieuchandisport@gmail.com","Club Handisport","2016/2017"
"DINAN","Sarbacane","Tout âge","Motrice","Din'handisport","06 23 46 24 02
dinhandisport@gmail.com","Club Handisport","2016/2017"
"SAINT BRIEUC","Sarbacane","Adultes - Seniors","Auditif - Motrice","Saint Brieuc Handisport","06 21 06 56 13
stbrieuchandisport@gmail.com","Club Handisport","2016/2017"
"PLOUER SUR RANCE","Self défense Nihon Tai Jitsu","Adolescents-  Adultes","Motrice","Plouer self défense","06 33 90 75 00
ydiveu@gmail.com",,"2016/2017"
"""LOCQUIREC
(29)""","Stand up paddle","Enfants - Adolescents - Adultes","Motrice - Visuelle -  Auditif - Mental - Psychique","Surfing Locquirec","06 27 06 48 87
 surfing.locquirec@gmail.com",,"2016/2017"
"LOCQUIREC (29)","Surf","Enfants - Adolescents - Adultes","Motrice - Visuelle -  Auditif - Mental - Psychique","Surfing Locquirec","06 27 06 48 87
 surfing.locquirec@gmail.com","Affilié Handi surf","2016/2017"
"GUINGAMP","Taï Chi Chuan","Adultes","Visuelle","Ling Zhi Wu","06 07 41 89 25
 taichi.lzw22@gmail.com",,"2016/2017"
"LAMBALLE","Tai chi taoiste","Adolescents -  Adultes - Seniors","Auditif - Motrice - Mental - Psychique","Tai Chi Taoiste","02 96 41 20 90  02 96 30 89 54
lucile.dagorne@hotmail.fr",,"2016/2017"
"PLERIN","Tennis","Enfants - Adolescents - Adultes","Auditif - Motrice - Mental - Psychique","Tennis club de Plérin","02 96 74 56 85
tennis.club.plerin@wanadoo.fr","Section Sport Adapté","2016/2017"
"LANNION","Tennis","Adultes","Motrice","Lannion tennis","tclannion@wanadoo.fr
02 96 37 60 99",,"2016/2017"
"LOUDEAC","Tennis","Contacter le club","Motrice - Mental - Psychique","Association tennis Loudéac","02 96 28 32 83 / 02 96 28 33 70 /
06 30 79 14 06
brisa2@wanadoo.fr","Section Handisport
Section Sport Adapté","2016/2017"
"PONTRIEUX","Tennis","Tout âge","Auditif - Motrice","Asl tennis Pontrieux","02 96 95 19 70
asl.tennis-pontrieux@orange.fr","Section Handisport","2016/2017"
"PAIMPOL","Tennis","Adolescents-  Adultes - Seniors","Mental - Psychique","Tennis club de Paimpol","02 96 22 07 25
tcpaimpol@gmail.com","Section Sport Adapté","2016/2017"
"SAINT QUAY PORTRIEUX","Tennis de Table","Tout âge","Auditif - Mental - Psychique","Espérance Saint Quay","02 96 70 70 28 /  06 89 23 83 83
marc.pilard1949@gmail.com","Section Sport Adapté","2016/2017"
"SAINT BRIEUC","Tennis de table","Adolescents -  Adultes - Seniors","Mental - Psychique","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"PLERIN","Tennis de Table","Enfants - Adolescents - Adultes","Motrice","Argentel club Plérin Tennis de Table","02 96 74 44 79 / 02 96 79 05 47
person.stephane@orange.fr","Section Handisport","2016/2017"
"PLAINTEL","Tennis de Table","Adolescents -  adultes- Seniors","Mental - Psychique","Culture Loisirs Adaptés Plaintel","07 83 74 22 83
clap2209@gmail.com","Club Sport Adapté","2016/2017"
"PERROS GUIREC","Tennis de Table","Adultes - Seniors","Motrice - Mental - Psychique","7 îles tennis de table","06 25 18 12 52 / 09 63 63 10 04 
didier.beges918@orange.fr",,"2016/2017"
"LOUDEAC","Tennis de Table","Adultes -Seniors","Motrice - Visuelle - Auditif","Club Loudéac Handisport","06 70 75 05 51
clubloudeachandisport@yahoo.fr","Club Handisport","2016/2017"
"TREMARGAT","Tir à l'arc","Enfants - Adolescents - Adultes","Motrice - Mental - Psychique","Base nature de Trémargat","nautiquetremargat@wanadoo.fr 
02 96 36 53 89","Terrain accidenté non accessible aux PMR. Accueil uniquement groupes","2016/2017"
"LAMBALLE","Tir à l'arc","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Compagnie des Archers du Penthièvre","02 96 31 13 34 02 96 50 96 53
lydielemarchand@live.fr 
jakedomi@orange.fr","Section Sport Adapté
Section Handisport","2016/2017"
"LEHON - DINAN","Tir à l'arc","adolescents- adultes- seniors","Motrice - Visuelle - Auditif - Mental - Psychique","Archers de Dinan","06 09 53 07 04
geraldissimio@sfr.fr",,"2016/2017"
"PAIMPOL","Tir à l'arc","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Les Archers d'Armor","02 96 16 58 93 -  06 79 07 14 14
archersdarmor@orange.fr",,"2016/2017"
"LAMBALLE","Torball","Tout âge","Visuelle","Torball costarmoricain 
Mjc Lamballe","06 27 39 52 96
dusportsansrienvoir@gmail.com",,"2016/2017"
"LAMBALLE","Vélo tricycle","Adultes","Motrice","Entente cyclotourisme de Lamballe","02 96 31 94 88 / 02 96 50 06 27 /
 02 96 34 73 97
famillegillard@wanadoo.fr 
al.borderie@hotmail.fr",,"2016/2017"
"PENVENAN","Voile","Enfants - Adolescents - Adultes","Auditif - Motrice - Mental - Psychique","Cente nautique municipal de Port Blanc","02 96 92 64 96
centre-nautique@ville-penvenan.fr",,"2016/2017"
"SAINT QUAY PORTRIEUX","Voile","Contacter la structure","Visuelle - Auditif - Motrice","Pôle nautique Sud Goelo","02 96 70 54 65
polenautique@sudgoelo.fr","ne rien noter","2016/2017"
"BINIC ETABLE SUR MER","Voile","Contacter la structure","Visuelle - Auditif - Motrice","Pôle nautique Sud Goelo","02 96 70 54 65
polenautique@sudgoelo.fr",,"2016/2017"
"CHATELAUDREN","Voile","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Communauté de communes Leff Communauté","02 96 79 77 77
cdc@leffcommunaute.fr",,"2016/2017"
"TREBEURDEN","Voile collective","Tout âge","Visuelle - Auditif - Mental - Psychique","Ecole de voile de Trébeurden","02 96 23 51 35 / 06 07 16 47 69
ev.trebeurden@gmail.com","Familles ou groupes constitués","2016/2017"
"ERQUY","Voile sur catamaran et bateau collectif","Enfants - Adolescents -Adultes","Motrice - Visuelle - Auditif - Mental - Psychique","Centre Nautique d'Erquy","02 96 72 32 62
cnerquy@gmail.com","Individuel ou groupes : se renseigner","2016/2017"
"TREGASTEL","Voile sur Dériveur et Bateau collectif","Tout âge","Motrice - Visuelle -  Auditif - Mental - Psychique","Base nautique Trégastel","02 96 23 45 05
cntregastel@orange.fr","Accueil PMR possible mais délicat. Se renseigner","2016/2017"
